新常态下中国经济增长动力新解——基于“创新、协调、绿色、开放、共享”的测算与对比	王军;李萍	《经济与管理研究》	西南财经大学经济学院;	2017	新常态;经济增长;五大发展理念;动力分解;趋同检验
生育政策调整对中国出生人口规模的影响——基于生育意愿与生育行为差异的视角	王军	《人口学刊》	中山大学社会学与人类学学院;	2015	生育政策;生育意愿;生育行为;出生人口规模
组织即兴的形成机制研究:基于社会网络和组织学习理论	王军;曹光明;江若尘	《外国经济与管理》	上海财经大学国际工商管理学院;中国科技大学管理学院;徽商银行博士后工作站;上海财经大学上海发展研究院;	2016	组织即兴;社会网络嵌入;组织学习
生物炭对退化蔬菜地土壤及其修复过程中N_2O产排的影响	王军;施雨;李子媛;韩成;谢祖彬;钟文辉	《土壤学报》	江苏省物质循环与污染控制重点实验室南京师范大学;山东省水土保持与环境保育重点实验室;中国科学院南京土壤研究所;	2016	NO排放;生物炭;退化设施蔬菜地;土壤修复;环境效应;反硝化微生物
民营企业慈善捐赠与财务绩效的因果关系研究——基于政治关联性与市场化程度调节效应的分析	王军;郑玲;江若尘	《山西财经大学学报》	上海财经大学国际工商管理学院;上海财经大学上海发展研究院;	2016	民营企业慈善捐赠;财务绩效;政治关联性;市场化程度
松嫩平原西部土地整理对盐渍化土壤的改良效果	王军;顿耀龙;郭义强;窦森	《农业工程学报》	国土资源部土地整治中心土地整治重点实验室;中国地质大学(北京)土地科学技术学院;吉林农业大学资源与环境学院;	2014	土壤;盐分;肥;土地整理;典范对应分析;松嫩平原
实践重塑规则:有限公司股权转让限制规范检讨	王军	《中国政法大学学报》	中国政法大学;	2017	有限责任公司;股权转让;限制规则;准许程序;优先购买权
新型防淤堵真空预压法室内与现场试验研究	王军;蔡袁强;符洪涛;林统;叶强;金亚伟;陈兴城	《岩石力学与工程学报》	温州大学建筑与土木工程学院;温州大学浙江省软弱土地基与海涂围垦工程技术重点实验室;温州市水文站;宜兴市鑫泰土工材料有限公司;江西理工大学建筑与测绘工程学院;	2014	土力学;吹填土;直排式真空预压;新型防淤堵真空预压;加固效果;防淤堵机制
基于反S函数的盐岩单轴压缩全过程蠕变模型	王军保;刘新荣;宋战平;赵宝云;蒋斌;黄天柱	《岩石力学与工程学报》	西安建筑科技大学土木工程学院	2018	岩石力学;盐岩;蠕变特性;稳态蠕变率;长期强度;反S函数;蠕变模型
盐岩蠕变特性及其非线性本构模型	王军保;刘新荣;郭建强;黄明	《煤炭学报》	西安建筑科技大学土木工程学院;重庆大学土木工程学院;福州大学土木工程学院;	2014	盐岩;蠕变特性;非线性模型;参数识别
中国流域生态补偿机制实施框架与补偿模式研究——基于补偿资金来源的视角	王军锋;侯超波	《中国人口.资源与环境》	南开大学环境科学与工程学院;天津市循环经济与低碳发展人文社科研究基地;	2013	流域生态补偿机制;补偿资金;补偿模式
一致性与矛盾性在线评论对消费者信息采纳的影响研究——基于感知有用性的中介作用和自我效能的调节作用	王军;周淑玲	《图书情报工作》	吉林大学管理学院;	2016	在线评论;感知有用性;信息采纳;自我效能
区域特有农产品品牌整合的政府行为研究——以长白山人参品牌为例	王军;李鑫	《农业经济问题》	吉林大学管理学院;	2014	区域特有农产品;品牌整合;政府行为;长白山人参
基于复杂自适应Petri网的棉纺生产预报模型及其优化	王军	《东华大学》	 	2016	棉纺虚拟制造;复杂自适应Petri网;系统复杂度;两步过滤算法;指标分类及降维;人工神经网络;GA-BP算法;多智能体系统
论“一带一路”沿线投资政治风险的法律应对	王军杰	《现代法学》	四川大学法学院	2018	一带一路;政治风险;法律应对
从国家计划到生育自主:中国人口政策的未来趋向	王军;贾晓菲	《青年探索》	中山大学社会学与人类学学院	2018	计划生育;生育政策;人口政策;生育自主;低生育陷阱
土地整治对生态系统服务影响研究综述	王军;钟莉娜;应凌霄	《生态与农村环境学报》	国土资源部土地整治中心/国土资源部土地整治重点实验室	2018	土地整治;生态系统服务;协同/权衡关系;尺度效应
真空预压–电渗法联合加固软黏土地基试验研究	王军;张乐;刘飞禹;符洪涛	《岩石力学与工程学报》	温州大学建筑与土木工程学院;温州大学浙江省软弱土地基与海涂围垦工程技术重点实验室;上海松江新城投资建设有限公司;上海大学土木工程系;	2014	基础工程;真空预压;电渗法;土体电阻;土体电导率;土体p;H值
关于学生体质健康测试中存在问题的思考	王军利	《体育学刊》	中国矿业大学体育学院;	2015	学校体育;学生体质健康;体质健康测试
开采沉陷动态预测模型	王军保;刘新荣;刘小军	《煤炭学报》	西安建筑科技大学土木工程学院;重庆大学土木工程学院;	2015	开采沉陷;改进的Knothe时间函数;下沉盆地;动态预测
碳排放权交易市场碳配额价格关联机制研究——基于计量模型的关联分析	王军锋;张静雯;刘鑫	《中国人口.资源与环境》	南开大学环境科学与工程学院;	2014	碳排放配额;碳排放核证减排量;脉冲响应函数;价格管理
基于遥感-过程耦合模型的1988～2004年青海三江源区净初级生产力模拟	王军邦;刘纪远;邵全琴;刘荣高;樊江文;陈卓奇	《植物生态学报》	中国科学院地理科学与资源研究所;	2009	青海;三江源;净初级生产力;遥感-过程模型
贸易和环境研究的现状与进展	王军	《世界经济》	南京审计学院经济系	2004	贸易;环境;国际环境合作;“搭便车”行为
含羧基结构聚酰亚胺及其化学接枝改性聚合物的制备与性能研究	王军	《吉林大学》	 	2017	聚酰亚胺;可溶解性;热稳定性;改性;荧光;介电性质
