基于最高量子相关谱滤波的蛋白的甲基化过程检测	方仲佩;王倩文;孙鹏;朱勤俊;袁斌;张许;刘买利	《2018第二十届全国波谱学学术年会会议论文摘要集》	中国科学院武汉物理与数学研究所波谱与原子分子物理国家重点实验室武汉磁共振中心	2018	
酵母细胞中的胆碱衍生物的NMR分析	柴鑫;孙鹏;袁斌;Ghulam Mustafa Kamal;蒋滨;张许;刘买利	《第十九届全国波谱学学术会议论文摘要集》	中国科学院武汉物理与数学研究所波谱与原子分子物理国家重点实验室武汉磁共振中心	2016	
星载探测设备嵌入式软件抗干扰浅谈	袁斌	《中国空间科学学会空间探测专业委员会第十九次学术会议论文集（下册）》	中国科学院空间科学与应用研究中心探测	2006	软件;单片机;抗干扰
新技术在FPGA开发中的重要作用	袁斌	《中国空间科学学会第七次学术年会会议手册及文集》	中国科学院空间科学与应用研究中心	2009	FPGA;设计;测试;SOPC
新技术在FPGA开发中的重要作用	袁斌	《第二十三届全国空间探测学术交流会论文摘要集》	中国科学院空间科学与用用研究中心探测室	2010	FPGA;设计;测试;SOPC
红外探测器寿命试验设备真空系统的研制	曹岚;邓若汉;袁斌霞;龚海梅	《中国真空学会2014学术年会论文摘要集》	上海电力学院能源与机械工程学院	2014	红外探测器;寿命试验;真空
气-固相光催化分解硫化氢制氢	马贵军;鄢洪建;宗旭;马保军;江宏富;温福宇;李灿	《催化学报》	中国科学院大连化学物理研究所催化基础国家重点实验室	2008	光催化;硫化氢分解;氢气;硫化锌
单晶碳化硅和蓝宝石基片化学机械抛光的表面反应层形成机制的研究进展	甘阳;张飞虎	《科学通报》	哈尔滨工业大学化工与化学学院;哈尔滨工业大学机电学院航空宇航制造工程系;	2016	碳化硅;蓝宝石;化学机械抛光;表面反应层;表面表征
颗粒间作用力影响颗粒体系流变性能的研究进展	甘阳;George V.Franks	《科学通报》	哈尔滨工业大学化工学院;Department	2009	颗粒体系;剪切流变性能;单个颗粒;矿物加工;悬浮体系;流变应力;废水处理;聚合电解质;密实化;食品加工工业
晶种生长法制备银纳米片:老化过程对产物的影响	李娜;甘阳	《硅酸盐通报》	哈尔滨工业大学化工学院;	2013	晶种生长法;银纳米片;老化过程
能源化工新专业实验教学改革与探索	李春香;姚忠平;甘阳;杨春晖;姜兆华	《实验室研究与探索》	哈尔滨工业大学化工与化学学院	2018	能源化工专业;实验教学内容;教学改革
电化学还原处理对碳纸形貌和电化学电容的影响（英文）	严鹏丽;李爱龙;张丙青;施晶莹;甘阳;李灿	《高等学校化学学报》	哈尔滨工业大学化工学院;中国科学院大连化学物理研究所催化基础国家重点实验室大连洁净能源国家实验室;中国科学院大学;	2015	碳纸;电化学还原;电容;稳定性
从教七年记	甘阳	《科技导报》	哈尔滨工业大学化工学院催化科学与工程系;	2014	四十不惑;人无信不立;博士毕业;识人;耐得住;十三年;黄昆;我在;如水;科研经费;
哈尔滨工业大学“多尺度界面化学与工程”研究生创新基地运行经验谈	王晶;甘阳	《中国化学会第四届全国化学类研究生教育研讨会摘要集》	哈尔滨工业大学化工与化学学院	2016	研究生创新能力培养;创新实践基地
针尖增强拉曼光谱(TERS)的针尖上纳米颗粒修饰技术研究进展	甘阳	《中国化学会第27届学术年会第18分会场摘要集》	哈尔滨工业大学化工学院	2010	原子力显微镜;针尖增强拉曼光谱;针尖修饰;纳米颗粒
湿法蚀刻制备的图形化蓝宝石衬底的AFM表征:如何辨识和避免假象?	申健;甘阳	《中国化学会第30届学术年会摘要集-第三十五分会：纳米表征与测量》	哈尔滨工业大学化工与化学学院	2016	LED图形化蓝宝石衬底;原子力显微镜;假象;成像机理
蓝宝石和碳化硅等离子体蚀刻及纳米摩擦行为的AFM表征研究	张丹;甘阳	《中国化学会第29届学术年会摘要集——第32分会：纳米表征与检测技术》	哈尔滨工业大学化工学院	2014	蓝宝石;碳化硅;等离子处理;纳米摩擦;原子力显微镜表征
针尖增强拉曼光谱(TERS)的针尖上纳米颗粒修饰技术研究进展	甘阳	《第十六届全国光散射学术会议论文摘要集》	哈尔滨工业大学化工学院	2011	
非真空条件下原子力显微镜的原子和亚纳米级分辨表征——假象和重现性问题(英文)	甘阳	《中国化学会第28届学术年会第4分会场摘要集》	哈尔滨工业大学化工学院	2012	原子力显微镜;高分辨成像;假象;重现性
胶体微球探针的微球表面磨损表征和污染物无损去除研究	甘阳	《中国化学会第26届学术年会胶体与界面化学分会场论文集》	哈尔滨工业大学应用化学系	2008	原子力显微镜;微球探针;表面磨损;污染物去除;超尖光栅
